ObjectType;OldId;Name;NewId
"codeunit;50027;""Leave Approval Management"";"
"codeunit;50030;""Workplan Management"";"
"codeunit;50033;""Excel Management"";"
"codeunit;52193423;""Code Factory"";"
codeunit;52193424;ActionPermisionManagement;
"codeunit;52193425;""Authorisation Alerts 1"";"
"codeunit;52193426;""Gen. Jnl.-Post B 1"";"
"codeunit;52193427;""Test 1"";"
"codeunit;52193428;""Post ATM Transactions 1"";"
codeunit;52193429;Notifications;
"codeunit;52193430;""Authorisation Alerts"";"
"codeunit;52193431;""Gen. Jnl.-Post B"";"
codeunit;52193432;Test;
"codeunit;52193433;""Post ATM Transactions"";"
codeunit;52193434;Payroll;
"codeunit;52193435;""Receipt Management"";"
"codeunit;52193436;""Payment Management"";"
"codeunit;52193437;""Loan Management"";"
"codeunit;52193438;""Fosa Currency Management"";"
codeunit;52193439;MemberFosaAccSchedManagement;
"codeunit;52193440;""Store Management"";"
"codeunit;52193441;""Transactions Management"";"
codeunit;52193442;Committments;
"codeunit;52193443;""Perodic Activities"";"
"codeunit;52193444;""Account Management"";"
"codeunit;52193445;""Matured Investment Account"";"
"codeunit;52193446;""Accrued Interest"";"
"codeunit;52193447;""End of Day Process"";"
"codeunit;52193448;""Account Monthly Service Fee"";"
"codeunit;52193449;""Overdraft Limit"";"
codeunit;52193450;PActive;
"codeunit;52193451;""Accrued Interest-Thala"";"
"codeunit;52193452;""Terminate Investment Acc"";"
"codeunit;52193453;""loans update"";"
codeunit;52193454;Payroll5;
codeunit;52193455;Payroll2;
"codeunit;52193456;""Employee Presence"";"
"codeunit;52193457;""Leave Reports"";"
"codeunit;52193458;""HR Dates"";"
"codeunit;52193459;""HR Professional Membership"";"
codeunit;52193460;Payroll1;
codeunit;52193461;Payroll1x;
codeunit;52193462;Payroll3;
"codeunit;52193463;""update approved days"";"
"codeunit;52193464;""Workbook Exercises"";"
"codeunit;52193465;""Compute Levies"";"
"codeunit;52193466;""Receipts-Post"";"
"codeunit;52193467;""Payment- Post"";"
"codeunit;52193468;""Receipts-Post1"";"
"codeunit;52193469;""Payment- Post-PV"";"
"codeunit;52193470;""Expired Employee Contracts"";"
"codeunit;52193471;""Performance Evaluation Alerts"";"
"codeunit;52193472;""Scheduled Trainings Alerts"";"
"codeunit;52193473;""Fleet Maintenance Alert"";"
"codeunit;52193474;""Calculate Penalty"";"
codeunit;52193475;Committment;
"codeunit;52193476;""Planned Leaves Alerts"";"
"codeunit;52193477;""Item Reorder Alerts"";"
"codeunit;52193478;""Print Aging Analyses Reports"";"
"codeunit;52193479;""Budget Management"";"
"codeunit;52193480;""Item Management"";"
"codeunit;52193481;""Send Customer Statements"";"
"codeunit;52193482;""Resume Delegations"";"
"codeunit;52193483;""Pending Approval Req Alerts"";"
"codeunit;52193484;""Payments Due Alerts"";"
"codeunit;52193485;""Tender Closing Dates"";"
"codeunit;52193486;""Recurring Jnls Due Alerts"";"
"codeunit;52193487;""Invoices Due Alerts"";"
"codeunit;52193488;""Notification Sender"";"
"codeunit;59500;""Custom Approvals Codeunit"";"
"codeunit;69502;""PR Payroll Processing"";"
"codeunit;90100;""Approval Mgmt. Ext"";"
"codeunit;95000;""Risk Management"";"
"enum;50000;""Payment Doc Attach Types"";"
"enum;50001;""PayChange Source Document"";"
"enum;50002;""Has Insurance Certificate"";"
"enum;50003;""Loan Category"";"
"enum;50004;""Exit Reasons"";"
"enum;50005;""Employee Type"";"
enum;50006;CustomerAccountType;
"enum;50011;""Refund Policy"";"
"enum;50015;""Casual Pay Schedule Doc Type"";"
"enum;50017;""Appraisal Reward Types"";"
"enum;50018;""Exit Sections"";"
"enum;50019;""Utilization Direction"";"
"enum;50020;""Financial Quarters"";"
enum;50021;SharepointDocumentType;
"enum;50022;""Transaction Type Ref"";"
"enum;50023;""Default Dim Doc Type"";"
"enum;50024;""Requisition Type"";"
"enum;50025;""HR Performance Document Stage"";"
"enum;70001;""Budget Processes"";"
"enumextension;50001;""Purchase Document Status"";"
"enumextension;50002;""Resource Type"";"
"enumextension;50003;""Email Scenario"";"
"enumextension;50004;""Comment Line Table Name"";"
"enumextension;70072;""Purchase Document Type"";"
"enumextension;70073;""Approval Document Type"";"
"page;50000;""Table Relations"";"
"page;50001;""Held Purchase Order List"";"
"page;50002;""Held Purchase Order"";"
"page;50003;""Issued Purchase Order List"";"
"page;50004;""Issued Purchase Order"";"
"page;50005;""Received Purchase Order List"";"
"page;50006;""Received Purchase Order"";"
"page;50007;""Cancelled Purchase Order List"";"
"page;50008;""Cancelled Purchase Order"";"
"page;50009;""Closed Purchase Order List"";"
"page;50010;""Closed Purchase Order"";"
"page;50011;""Order Penalty Rates"";"
"page;50012;""HOD Appraisals List"";"
"page;50013;""HOD Appraisal Objectives List"";"
"page;50014;""HOD Training Plans list"";"
"page;50015;""HOD Employee Absence List"";"
"page;50016;""HOD Training Evaluation List"";"
"page;50017;""HOD Leave Applications List"";"
"page;50018;""HOD Leave Recalls List"";"
"page;50019;""HOD Probation Appraisals List"";"
"page;50020;""HOD Employee Leave Plan List"";"
"page;50021;""HR Employee Training Requests"";"
"page;50022;""HR Employee Training Request"";"
"page;50023;""Finance Training Plan"";"
"page;50024;""Training Request Finance"";"
"page;50025;""Disciplinary Cases List"";"
"page;50026;""Employee Other Incidents List"";"
"page;50027;""Fleet Consumables List"";"
"page;50028;""Car Wash Entries List"";"
"page;50029;""Job Applicant Card-GS"";"
"page;50030;""Job Applicants List-GS"";"
"page;50031;""Released Purchase Requisition"";"
"page;50032;""Released PR List"";"
"page;50033;""Maintenance Request Resolution"";"
"page;50034;""Maintenance Req. Resolutions"";"
"page;50035;""ESS Emp Training Needs List"";"
"page;50036;""HR Emp Training Needs Card"";"
"page;50037;""Supplier Complaints"";"
"page;50038;""BlackListed Vendors"";"
"page;50039;""BlackListed Vendor Card"";"
"page;50040;""Stores Return"";"
"page;50041;""Stores Return Lines"";"
"page;50042;""Stores Return List"";"
"page;50043;""Posted Stores Return List"";"
"page;50044;""Posted Stores Return"";"
"page;50045;""Fund Check Header"";"
"page;50046;""Fund Check Lines"";"
"page;50047;""Fund Check"";"
"page;50048;""Budget Approval"";"
